"Municipal key figures 1987-2024"

"Region","Information","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Helsinki","Population",490034,489965,490629,492400,497542,501514,508588,515765,525031,532053,539363,546317,551123,555474,559718,559716,559330,559046,560905,564521,568531,576632,583350,588549,595384,603968,612664,620715,628208,635181,643272,648042,653835,656920,658457,664028,674500,684018
"Helsinki","Population change from the previous year, %",.,0.0,0.1,0.4,1.0,0.8,1.4,1.4,1.8,1.3,1.4,1.3,0.9,0.8,0.8,0.0,-0.1,-0.1,0.3,0.6,0.7,1.4,1.2,0.9,1.2,1.4,1.4,1.3,1.2,1.1,1.3,0.7,0.9,0.5,0.2,0.8,1.6,1.4
"Helsinki","Persons aged under 15, %",14.8,15.0,15.0,15.0,15.1,15.3,15.5,15.5,15.6,15.6,15.5,15.4,15.2,15.1,14.9,14.9,14.7,14.5,14.3,14.0,13.7,13.7,13.6,13.5,13.6,13.6,13.7,13.9,14.0,14.1,14.3,14.3,14.3,14.3,14.3,14.2,14.1,14.0
"Helsinki","Persons aged 15 to 64, %",70.8,70.7,70.6,70.6,70.6,70.5,70.5,70.5,70.5,70.6,70.8,71.1,71.3,71.5,71.7,71.7,71.7,71.7,71.9,71.8,72.1,72.0,71.9,71.5,71.0,70.6,70.1,69.8,69.4,69.2,68.9,68.7,68.5,68.3,68.1,68.1,68.3,68.4
"Helsinki","Persons aged 64 or over, %",14.3,14.4,14.4,14.4,14.3,14.2,14.1,14.0,13.9,13.7,13.7,13.5,13.4,13.4,13.4,13.5,13.6,13.8,13.9,14.2,14.2,14.3,14.5,15.0,15.4,15.8,16.1,16.4,16.6,16.7,16.8,17.0,17.2,17.4,17.6,17.6,17.6,17.6
"Helsinki","Swedish-speaking, %",8.2,8.0,7.9,7.7,7.5,7.4,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.2,6.2,6.1,6.1,6.1,6.0,6.0,6.0,5.9,5.9,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.5,5.5,5.4
"Helsinki","Foreign citizens, %",0.9,1.0,1.1,1.4,2.0,2.5,3.2,3.6,4.0,4.2,4.5,4.7,4.7,4.7,5.0,5.1,5.3,5.2,5.5,5.9,6.4,6.7,7.2,7.6,8.0,8.4,8.6,8.9,9.2,9.4,9.5,9.6,9.7,9.9,10.3,11.0,11.9,12.3
"Helsinki","Degree of urbanisation, %",99.9,99.8,99.7,99.8,99.8,99.7,99.8,99.7,100.0,100.0,100.0,100.0,99.9,100.0,100.0,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9
"Helsinki","Excess of births, persons",.,.,.,654,1061,1355,1328,1700,1347,1276,1283,957,1092,1160,1036,888,1136,1135,1318,1214,1180,1517,1576,1600,1639,1674,1815,1858,1881,1673,1524,1197,1214,1293,1534,247,359,856
"Helsinki","Intermunicipal migration gain/loss, persons",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1406,-142,-659,1044,1703,1076,1643,3173,4086,3645,3564,3285,5027,2459,1726,-1044,-4210,-974,1992,3313
